id,barangay,city,latitude,longitude,zone_id,last_updated,,,,
1,Barangay Tuktukan,Taguig City      ,14.528373,121.071436,10,13/02/2026 14:26,,,,
2,Barangay Katipunan 1,Quezon CIty,14.655562,121.017784,3,13/02/2026 14:26,,,,
,Barangay 691,Manila City,14.572619,120.992512,,,,,,
,Barangay Quirino 2A,Quezon CIty,14.631567,121.059119,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,Barangay Alicia,Quezon City,,,,,,,,
2,Barangay Bagong Pag-asa,Quezon City,,,,,,,,
3,Barangay Bahay Toro,Quezon City,,,,,,,,
4,Barangay Balingasa,Quezon City,,,,,,,,
5,Barangay Bungad,Quezon City,,,,,,,,
6,Barangay Damar,Quezon City,,,,,,,,
7,Barangay Damayan,Quezon City,,,,,,,,
8,Barangay Del Monte,Quezon City,,,,,,,,
9,Barangay Katipunan,Quezon City,,,,,,,,
10,Barangay Lourdes,Quezon City,,,,,,,,
11,Barangay Maharlika,Quezon City,,,,,,,,
12,Barangay Manresa,Quezon City,,,,,,,,
13,Barangay Mariblo,Quezon City,,,,,,,,
14,Barangay Masambong,Quezon City,,,,,,,,
15,Barangay Gintong Silahis,Quezon City,,,,,,,,
16,Barangay N.S. Amoranto,Quezon City,,,,,,,,
17,Barangay Nayong Kanluran,Quezon City,,,,,,,,
18,Barangay Paang Bundok,Quezon City,,,,,,,,
19,Barangay Pag-ibig sa Nayon,Quezon City,,,,,,,,
20,Barangay Paltok,Quezon City,,,,,,,,
21,Barangay Paraiso,Quezon City,,,,,,,,
22,Barangay Phil-Am,Quezon City,,,,,,,,
23,Barangay Project 6,Quezon City,,,,,,,,
24,Barangay Ramon Magsaysay,Quezon City,,,,,,,,
25,Barangay Saint Peter,Quezon City,,,,,,,,
26,Barangay Salvacion,Quezon City,,,,,,,,
27,Barangay San Antonio,Quezon City,,,,,,,,
28,Barangay San Isidro Labrador,Quezon City,,,,,,,,
29,Barangay San Jose,Quezon City,,,,,,,,
30,Barangay Santa Cruz,Quezon City,,,,,,,,
31,Barangay Santa Teresita,Quezon City,,,,,,,,
32,Barangay Sto. Cristo,Quezon City,,,,,,,,
33,Barangay Matalahib,Quezon City,,,,,,,,
34,Barangay Santo Domingo,,,,,,,,,
35,Barangay Siena,Quezon City,,,,,,,,
36,Barangay Talayan,Quezon City,,,,,,,,
37,Barangay Vasra,Quezon City,,,,,,,,
38,Barangay Veterans Village,Quezon City,,,,,,,,
39,Barangay West Triangle,Quezon City,,,,,,,,
